C,MC,SCP_UID,date,B01,B02,B03,B04,B05,B06,B07,B08,B8A,B09,B11,B12,NDVI,REP,FAI,GNDVI,NDVI-B8A,VB-FAH,SEI,SABI
Sf,S,20191002_150326459064_372,20190304,0.0965,0.0738,0.0753,0.0648,0.1046,0.1083,0.1205,0.1222,0.1185,0.1355,0.0719,0.0534,0.30695185,703.03546,0.056072295,0.23746835,0.29296234,0.053346995,0.25914475,0.38497648
Sf,S,20191002_150326459064_372,20190304,0.0898,0.067,0.0926,0.0771,0.1011,0.1059,0.1166,0.1068,0.1125,0.1211,0.0694,0.0532,0.1615008,704.2814,0.031139895,0.07121361,0.18670885,0.023716995,0.21225879,0.1860902
Sf,S,20191002_150326459064_372,20190304,0.0972,0.0673,0.0839,0.0697,0.0939,0.0993,0.114,0.1198,0.1194,0.1347,0.072,0.0524,0.26437995,704.6286,0.0496699,0.17623958,0.2628239,0.0446188,0.24921796,0.3313492
Sf,S,20191002_150326459064_372,20190304,0.0912,0.0601,0.0816,0.078,0.1161,0.1248,0.1376,0.222,0.1396,0.1225,0.0688,0.0519,0.47999996,703.7941,0.14572039,0.46245053,0.2830882,0.1426104,0.52682257,1.0162314
Sf,S,20191002_150326459064_372,20190304,0.0852,0.0578,0.0865,0.0716,0.1156,0.1241,0.1337,0.1618,0.1331,0.1102,0.0672,0.052,0.38646102,703.1091,0.0910228,0.3032622,0.30043972,0.0844486,0.41310042,0.6250866
Sf,S,20191002_150326459064_372,20190304,0.0978,0.0838,0.0846,0.06,0.0942,0.1001,0.1185,0.1001,0.1191,0.1393,0.073,0.0529,0.2504685,704.10834,0.037669003,0.083919875,0.32998326,0.030604403,0.15655693,0.23812354
Sf,S,20191002_150326459064_372,20190304,0.0913,0.0558,0.0855,0.0799,0.1042,0.1151,0.1343,0.1848,0.137,0.1195,0.069,0.0505,0.39629772,705.4628,0.1069383,0.3673696,0.26325497,0.1027384,0.45626476,0.7423921
Sf,S,20191002_150326459064_372,20190304,0.0859,0.0575,0.0782,0.075,0.1244,0.1363,0.1444,0.2406,0.1542,0.1095,0.0658,0.0502,0.5247148,703.0265,0.1673204,0.5094103,0.34554973,0.1643648,0.5704961,1.220339
Sf,S,20191002_150326459064_372,20190304,0.0805,0.0559,0.0806,0.0732,0.1229,0.1325,0.1341,0.1926,0.1443,0.0994,0.0642,0.0501,0.4492099,702.362,0.121083,0.40995607,0.32689655,0.1165436,0.5,0.8747252
Sf,S,20191002_150326459064_372,20190304,0.0751,0.0594,0.0724,0.0584,0.0998,0.1038,0.1034,0.1204,0.1071,0.0893,0.0641,0.0502,0.34675613,701.751,0.060934097,0.24896263,0.29425982,0.056595996,0.30514905,0.4704097
Sf,S,20191002_150326459064_372,20190304,0.0916,0.068,0.0797,0.0622,0.0921,0.099,0.1196,0.1258,0.1155,0.1227,0.0694,0.052,0.3382979,704.7802,0.0622536,0.22433089,0.29994375,0.056845002,0.28893444,0.43060255
Sf,S,20191002_150326459064_372,20190304,0.0853,0.0551,0.071,0.0639,0.1039,0.1148,0.1339,0.1596,0.1334,0.1043,0.0664,0.0498,0.4281879,704.1998,0.0952325,0.38421512,0.35225543,0.092959404,0.4123894,0.7589215
Sf,S,20191002_150326459064_372,20190304,0.0806,0.0619,0.0684,0.0523,0.1172,0.1273,0.1316,0.1278,0.1427,0.0964,0.0636,0.0495,0.4192116,701.3855,0.07338691,0.3027523,0.4635898,0.0692854,0.33542317,0.57943213
Sf,S,20191002_150326459064_372,20190304,0.0759,0.0598,0.0708,0.059,0.1144,0.1213,0.119,0.1302,0.1316,0.0885,0.0621,0.0492,0.37632135,701.2283,0.0706203,0.2955224,0.38090244,0.0666452,0.35413417,0.5451761
Sf,S,20191002_150326459064_372,20190304,0.0711,0.0644,0.0702,0.0546,0.0954,0.0969,0.0961,0.1206,0.1001,0.0806,0.0619,0.049,0.37671232,701.35077,0.064634904,0.26415092,0.29411763,0.0599784,0.32164383,0.4903417
Sf,S,20191002_150326459064_372,20190304,0.0854,0.061,0.0662,0.0587,0.0857,0.0901,0.108,0.0992,0.1001,0.1061,0.0672,0.0524,0.25649145,704.53217,0.038910504,0.19951633,0.2607053,0.037605003,0.19230773,0.31839624
Sf,S,20191002_150326459064_372,20190304,0.0794,0.0628,0.071,0.0519,0.0929,0.0983,0.1129,0.1186,0.1085,0.0892,0.0642,0.0504,0.39120236,703.07794,0.064399906,0.25105485,0.3528678,0.0593274,0.29759303,0.49850526
Sf,S,20191002_150326459064_372,20190304,0.0811,0.0587,0.068,0.0608,0.0788,0.08,0.0939,0.0849,0.0852,0.0947,0.0659,0.0528,0.16540836,704.6804,0.023146298,0.11052972,0.16712326,0.021320798,0.12599471,0.19021308
Sf,S,20191002_150326459064_372,20190304,0.0754,0.0641,0.0793,0.0554,0.082,0.0826,0.0931,0.093,0.0869,0.0792,0.0631,0.051,0.25336927,703.35205,0.036160104,0.07951248,0.22136334,0.028374603,0.19154388,0.26220366
Sf,S,20191002_150348259069_228,20190304,0.0852,0.0716,0.0682,0.0615,0.0825,0.0836,0.0877,0.0861,0.0862,0.089,0.0644,0.05,0.16666664,703.3353,0.024057694,0.11600776,0.16723086,0.022013796,0.144186,0.17596564
Sf,S,20191002_150348259069_228,20190304,0.0794,0.0487,0.066,0.0661,0.083,0.0837,0.099,0.1138,0.0903,0.0792,0.0619,0.0493,0.2651473,704.9055,0.0484854,0.26585093,0.15473147,0.047738597,0.29538986,0.41586742
Sf,S,20191002_150348259069_228,20190304,0.0735,0.0538,0.0586,0.0488,0.079,0.0792,0.0934,0.0862,0.0851,0.0693,0.0598,0.0481,0.27703705,703.2522,0.035343,0.19060771,0.27109787,0.0336172,0.18082193,0.33274022
Sf,S,20191002_150348259069_228,20190304,0.0793,0.0633,0.0688,0.0561,0.0927,0.0985,0.1068,0.1304,0.0991,0.0823,0.0628,0.0483,0.39839146,702.9406,0.0730471,0.30923694,0.27706185,0.0693978,0.34989652,0.56245273
Sf,S,20191002_150348259069_228,20190304,0.0745,0.0505,0.0769,0.0675,0.0933,0.0983,0.1199,0.178,0.1016,0.0741,0.0614,0.048,0.45010185,705.07306,0.1116407,0.39662614,0.2016558,0.106871605,0.48705098,0.86734694
Sf,S,20191002_150348259069_228,20190304,0.0697,0.0503,0.0673,0.0569,0.0889,0.091,0.1109,0.113,0.0945,0.0659,0.06,0.0475,0.33019423,704.0272,0.0555203,0.25346643,0.24834874,0.0520856,0.3063584,0.47704083
Sf,S,20191002_150348259069_228,20190304,0.0867,0.0758,0.073,0.0595,0.088,0.0866,0.0908,0.1252,0.0954,0.1026,0.0677,0.0521,0.35571197,702.42413,0.064166605,0.26337036,0.23176241,0.060489003,0.29808193,0.44153228
Sf,S,20191002_150348259069_228,20190304,0.0809,0.0702,0.0802,0.0699,0.0946,0.0952,0.0999,0.1606,0.1029,0.0886,0.0655,0.0497,0.39349243,703.2113,0.091522805,0.33388704,0.19097221,0.08672421,0.4206104,0.6030585
Sf,S,20191002_150348259069_228,20190304,0.0772,0.0519,0.0642,0.0591,0.0916,0.0965,0.1018,0.0966,0.0997,0.082,0.0627,0.0482,0.24084783,702.9253,0.036826804,0.20149255,0.2556675,0.035531405,0.21280603,0.32299745
Sf,S,20191002_150348259069_228,20190304,0.0734,0.0621,0.0669,0.0477,0.0911,0.0974,0.107,0.1214,0.098,0.0755,0.0613,0.0474,0.43583676,702.44696,0.0711568,0.28943175,0.34522992,0.0662888,0.32895458,0.57131773
Sf,S,20191002_150348259069_228,20190304,0.0697,0.0616,0.0811,0.0655,0.093,0.098,0.1157,0.129,0.0979,0.069,0.061,0.0473,0.32647812,704.5602,0.06434149,0.22798663,0.19828644,0.057478394,0.3578947,0.44498944
Sf,S,20191002_150348259069_228,20190304,0.0659,0.0553,0.0684,0.06,0.0889,0.0904,0.1064,0.0859,0.0903,0.0625,0.0601,0.0472,0.17751887,703.8873,0.025881302,0.11341541,0.20159683,0.022657601,0.17671233,0.20937753
Sf,S,20191002_150348259069_228,20190304,0.0781,0.0714,0.0702,0.0603,0.0854,0.0884,0.0924,0.1158,0.0911,0.0904,0.0659,0.0511,0.31516185,703.1775,0.0544528,0.24516127,0.20343462,0.051678598,0.27462855,0.39194912
Sf,S,20191002_150348259069_228,20190304,0.0729,0.0622,0.0766,0.0625,0.0887,0.0932,0.0977,0.1358,0.0953,0.0785,0.0635,0.0491,0.36964196,703.3452,0.073113,0.2787194,0.20785804,0.06785741,0.3627697,0.52809805
Sf,S,20191002_150348259069_228,20190304,0.0702,0.0487,0.0549,0.0536,0.08,0.0838,0.092,0.0831,0.0884,0.0736,0.0607,0.0478,0.21580102,703.46155,0.0281723,0.2043478,0.24507044,0.0289982,0.15577191,0.28474903
Sf,S,20191002_150348259069_228,20190304,0.0675,0.0617,0.0527,0.0381,0.0777,0.0803,0.0882,0.0697,0.083,0.0688,0.0598,0.0472,0.29313543,701.7769,0.027542103,0.1388889,0.37076795,0.025964402,0.076447904,0.2762238
Sf,S,20191002_150438490429_531,20190304,0.1258,0.0709,0.0996,0.0881,0.1885,0.2188,0.2561,0.2836,0.2656,0.2503,0.1215,0.0746,0.5259618,703.5907,0.1892542,0.48016703,0.50183773,0.191061,0.40014812,1.1466275
Sf,S,20191002_150438490429_531,20190304,0.1171,0.0726,0.0999,0.0763,0.1728,0.2075,0.2284,0.2088,0.2419,0.2176,0.0972,0.0634,0.46474916,703.1179,0.1285917,0.3527697,0.5204274,0.1233904,0.3647059,0.7681159
Sf,S,20191002_150438490429_531,20190304,0.1088,0.0709,0.0918,0.0751,0.1563,0.1848,0.2007,0.1814,0.2081,0.1901,0.0808,0.0565,0.41442496,703.112,0.1052341,0.32796487,0.46963283,0.099853806,0.3836766,0.65334976
Sf,S,20191002_150438490429_531,20190304,0.1281,0.0619,0.1032,0.0912,0.1899,0.2354,0.2607,0.3636,0.2777,0.246,0.1012,0.0638,0.5989446,703.852,0.27053,0.55784065,0.5055571,0.267768,0.56454384,1.649909
